snpdists	apobec_prop	category
4	0.75	With-APOBEC
9	1	With-APOBEC
8	0.125	With-APOBEC
8	1	With-APOBEC
8	0.75	With-APOBEC
7	1	With-APOBEC
5	1	With-APOBEC
4	1	With-APOBEC
4	0.5	With-APOBEC
6	1	With-APOBEC
6	0.833333333	With-APOBEC
3	1	With-APOBEC
5	0.8	With-APOBEC
5	1	With-APOBEC
5	1	With-APOBEC
4	0.75	With-APOBEC
4	1	With-APOBEC
3	1	With-APOBEC
5	1	With-APOBEC
3	1	With-APOBEC
4	0.75	With-APOBEC
4	0.75	With-APOBEC
4	0.75	With-APOBEC
4	0.75	With-APOBEC
3	0.666666667	With-APOBEC
2	1	With-APOBEC
1	1	With-APOBEC
2	1	With-APOBEC
4	1	With-APOBEC
3	1	With-APOBEC
3	1	With-APOBEC
3	1	With-APOBEC
2	0.5	With-APOBEC
3	0.333333333	With-APOBEC
3	1	With-APOBEC
3	1	With-APOBEC
3	0.666666667	With-APOBEC
3	1	With-APOBEC
3	0.666666667	With-APOBEC
3	0.333333333	With-APOBEC
3	0.666666667	With-APOBEC
3	1	With-APOBEC
3	0.333333333	With-APOBEC
3	0.666666667	With-APOBEC
3	1	With-APOBEC
3	0.666666667	With-APOBEC
3	1	With-APOBEC
3	1	With-APOBEC
1	1	With-APOBEC
3	0.666666667	With-APOBEC
3	1	With-APOBEC
3	0	Without-APOBEC
3	0.666666667	With-APOBEC
3	1	With-APOBEC
3	1	With-APOBEC
3	0	Without-APOBEC
2	1	With-APOBEC
1	1	With-APOBEC
3	1	With-APOBEC
2	0.5	With-APOBEC
3	1	With-APOBEC
2	0.5	With-APOBEC
2	1	With-APOBEC
2	0.5	With-APOBEC
2	0.5	With-APOBEC
2	1	With-APOBEC
2	1	With-APOBEC
2	1	With-APOBEC
2	1	With-APOBEC
2	0.5	With-APOBEC
2	0.5	With-APOBEC
2	1	With-APOBEC
2	1	With-APOBEC
2	0.5	With-APOBEC
2	0.5	With-APOBEC
2	0.5	With-APOBEC
2	1	With-APOBEC
2	1	With-APOBEC
2	0.5	With-APOBEC
2	0.5	With-APOBEC
2	1	With-APOBEC
2	0.5	With-APOBEC
2	1	With-APOBEC
2	0.5	With-APOBEC
2	1	With-APOBEC
2	1	With-APOBEC
2	1	With-APOBEC
2	0.5	With-APOBEC
2	0.5	With-APOBEC
2	1	With-APOBEC
2	0.5	With-APOBEC
2	1	With-APOBEC
2	1	With-APOBEC
2	1	With-APOBEC
2	1	With-APOBEC
2	1	With-APOBEC
2	0.5	With-APOBEC
2	1	With-APOBEC
2	1	With-APOBEC
2	1	With-APOBEC
2	1	With-APOBEC
2	1	With-APOBEC
2	0.5	With-APOBEC
2	1	With-APOBEC
2	0.5	With-APOBEC
2	1	With-APOBEC
1	1	With-APOBEC
2	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	0	Without-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	0	Without-APOBEC
1	1	With-APOBEC
1	0	Without-APOBEC
1	1	With-APOBEC
1	0	Without-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	0	Without-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	0	Without-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	0	Without-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	0	Without-APOBEC
1	0	Without-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	0	Without-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	0	Without-APOBEC
1	0	Without-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	0	Without-APOBEC
1	0	Without-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
1	1	With-APOBEC
