sample	type	group	mut_ct
MK783027	NON-APOBEC	Pre-Outbreak Global	5
MK783028	NON-APOBEC	Pre-Outbreak Global	5
MK783029	NON-APOBEC	Pre-Outbreak Global	5
MK783030	NON-APOBEC	Pre-Outbreak Global	5
MK783031	NON-APOBEC	Pre-Outbreak Global	5
MK783032	NON-APOBEC	Pre-Outbreak Global	5
MK783033	APOBEC3	Pre-Outbreak Global	3
MK783033	NON-APOBEC	Pre-Outbreak Global	5
MN648051	APOBEC3	Pre-Outbreak Global	12
MN648051	NON-APOBEC	Pre-Outbreak Global	6
MPX000001-NYC-M08172-220826	APOBEC3	Outbreak NYC	54
MPX000001-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	11
MPX000002-NYC-M08172-220826	APOBEC3	Outbreak NYC	60
MPX000002-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	9
MPX000003-NYC-M08172-220826	APOBEC3	Outbreak NYC	54
MPX000003-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	10
MPX000004-NYC-M08172-220826	APOBEC3	Outbreak NYC	54
MPX000004-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	9
MPX000005-NYC-M08172-220826	APOBEC3	Outbreak NYC	55
MPX000005-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	9
MPX000006-NYC-M08172-220826	APOBEC3	Outbreak NYC	59
MPX000006-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	9
MPX000007-NYC-M08172-220826	APOBEC3	Outbreak NYC	54
MPX000007-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	9
MPX000008-NYC-M08172-220826	APOBEC3	Outbreak NYC	56
MPX000008-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	9
MPX000009-NYC-M08172-220826	APOBEC3	Outbreak NYC	57
MPX000009-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	10
MPX000010-NYC-M08172-220826	APOBEC3	Outbreak NYC	59
MPX000010-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	10
MPX000011-NYC-M08172-220826	APOBEC3	Outbreak NYC	55
MPX000011-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	10
MPX000012-NYC-M08172-220826	APOBEC3	Outbreak NYC	56
MPX000012-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	9
MPX000013-NYC-M08172-220826	APOBEC3	Outbreak NYC	55
MPX000013-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	9
MPX000014-NYC-M08172-220826	APOBEC3	Outbreak NYC	60
MPX000014-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	9
MPX000015-NYC-M08172-220826	APOBEC3	Outbreak NYC	59
MPX000015-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	10
MPX000016-NYC-M08172-220826	APOBEC3	Outbreak NYC	55
MPX000016-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	9
MPX000017-NYC-M08172-220826	APOBEC3	Outbreak NYC	56
MPX000017-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	10
MPX000018-NYC-M08172-220826	APOBEC3	Outbreak NYC	53
MPX000018-NYC-M08172-220826	NON-APOBEC	Outbreak NYC	9
MPX000019-NYC-M08172-220826	APOBEC3	Outbreak NYC	56
